# DOWNLOADS FOR EACH RELEASE:
v1.0.9-additional.command.buttons.radial | downloads: 1
v1.1.3-more.boarding.missions | downloads: 130
v1.0.3-coalition.shopping | downloads: 97
v1.0.2-coalition.shopping | downloads: 1
v1.0.1-navy.licenses | downloads: 1
v1.1.2-space.fauna | downloads: 124
v1.0.3-snowfeather.robotics | downloads: 120
v1.0.2-snowfeather.robotics | downloads: 1
v1.1.1-space.fauna | downloads: 1
v1.0-space.fauna | downloads: 1
v1.0.2-bunrodea.missions | downloads: 1
v1.1.2-more.boarding.missions | downloads: 1
v1.0.1-coalition.shopping | downloads: 2
v1.0.2-real.fluff | downloads: 1
v1.0.1-gegno.pirates | downloads: 171
v1.1.2-hai.side.mission.unlocker | downloads: 1
v1.1.1-hai.side.mission.unlocker | downloads: 1
v1.1.1-more.boarding.missions | downloads: 2
v1.1-hai.side.mission.unlocker | downloads: 1
v1.0-hai.side.mission.unlocker | downloads: 1
v1.0.2-more.arfectas | downloads: 158
v1.0.1-more.arfectas | downloads: 1
v1.0.1-snowfeather.robotics | downloads: 2
v1.0.1-real.fluff | downloads: 2
v1.0.1-devil-run.unhidden | downloads: 65
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 131
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 3
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 97
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 79
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 140
# TOTAL DOWNLOADS: 4978


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 92
additional.command.buttons.radial 177
automata.destruction.0percent 126
automata.in.human.space 101
better.starts 133
bunrodea.missions 175
captureable.person.ships 125
coalition.shopping 155
control.station 123
devil-run.unhidden 66
disable.person.ships 79
disable.spaceport.repeatables 109
expert.crew.members 164
free.worlds.5.years.later 97
galactic.capital.investment 197
gegno.pirates 172
hai.side.mission.unlocker 130
human.labels 108
jump.gates 128
kestrel.unlocks 86
kor.efret.shipyard 157
landing.images 99
landing.images.android 108
landing.images.highres 83
more.arfectas 160
more.boarding.missions 137
more.person.ships 153
navy.licenses 171
no.more.mereti.mines 100
outfits.weapon.slot 84
paint.your.ships 74
pirate.warlords 3
planet.map 85
quarg.farm 167
real.fluff 93
show.reputation 131
snowfeather.robotics 127
space.fauna 126
too.many.asteroids 155
tribute.republic 80
unique.fix 44
uniques 98
